,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state
0,0.6317777673403422,2754,1,2754,2338,0.0,0.0,0.0,0
0,1.2326090176900228,5551,2,2797,1539,0.5,0.25,0.25,0
0,1.9309771299362182,8266,3,2715,1774,3.5000000000000018,1.333333333333334,0.5,0
0,2.587734385331472,11001,4,2735,1963,0.0,1.0000000000000004,0.25,0
0,3.1503291447957356,13233,5,2232,1285,7.999999999999988,2.3999999999999977,0.5,0
0,3.617555065949758,15231,6,1998,1485,0.0,1.9999999999999982,0.25,0
0,4.292424730459849,17956,7,2725,2350,0.0,1.7142857142857129,0.0,0
0,4.8921880642573035,20303,8,2347,1520,18.599999999999984,3.8249999999999966,0.25,2
0,5.4628389795621235,22587,9,2284,1820,0.0,3.399999999999997,0.0,0
0,6.169789493083954,25495,10,2908,2061,2.9000000000000012,3.349999999999997,0.25,0
0,6.705133994420369,27828,11,2333,1955,0.0,3.0454545454545427,0.0,0
0,6.976375679175059,29310,12,1482,66,0.0,2.7916666666666643,0.0,0
0,7.7511458476384485,32100,13,2790,2004,4.5,2.9230769230769207,0.0,0
0,8.362084066867828,34715,14,2615,1919,2.500000000000001,2.892857142857141,0.25,0
0,8.982074304421742,37451,15,2736,1195,2.2000000000000006,2.846666666666665,0.5,0
0,9.50952815214793,39760,16,2309,1492,0.0,2.6687499999999984,0.25,0
0,10.094434571266174,42175,17,2415,1533,3.4000000000000017,2.7117647058823513,0.5,0
0,10.637774097919465,44343,18,2168,1345,0.0,2.5611111111111096,0.25,0
0,10.975350296497345,46131,19,1788,130,0.0,2.4263157894736826,0.0,0
0,11.492196770509084,48423,20,2292,1133,0.0,2.304999999999999,0.0,0
0,12.321649527549743,51677,21,3254,2174,5.4999999999999964,2.4571428571428555,0.0,0
0,12.884895825386048,53944,22,2267,1885,0.0,2.345454545454544,0.0,0
0,13.466182041168214,56177,23,2233,1673,0.0,2.243478260869564,0.0,0
0,14.224374504884084,59048,24,2871,1955,5.399999999999998,2.3749999999999987,0.0,0
0,14.86042902469635,61710,25,2662,2192,0.0,2.279999999999999,0.0,0
0,15.676955902576447,64875,26,3165,2536,4.100000000000001,2.3499999999999988,0.0,0
0,16.02097386519114,66406,27,1531,1087,0.0,2.262962962962962,0.0,0
0,16.624731242656708,69078,28,2672,2254,0.0,2.182142857142856,0.0,0
0,17.265027097860973,71874,29,2796,1545,0.0,2.106896551724137,0.0,0
0,17.85768922170003,74290,30,2416,1603,19.99999999999998,2.703333333333332,0.0,2
0,18.575987859567007,77037,31,2747,2396,0.0,2.616129032258063,0.0,0
0,19.19630719423294,79471,32,2434,1979,0.0,2.5343749999999985,0.0,0
0,20.103875839710234,82804,33,3333,2386,8.099999999999987,2.703030303030301,0.0,0
0,20.753134636084237,85086,34,2282,1418,7.099999999999991,2.8323529411764685,0.0,0
0,21.217932216326396,86953,35,1867,1260,0.0,2.751428571428569,0.0,0
0,21.907226085662842,89785,36,2832,1062,3.600000000000002,2.774999999999998,0.0,0
0,22.504819202423096,91918,37,2133,1659,0.1,2.702702702702701,0.0,0
0,22.96151959101359,93718,38,1800,1313,0.0,2.631578947368419,0.0,0
0,23.361557133992513,95371,39,1653,981,12.599999999999982,2.887179487179485,0.0,2
0,23.963253541787466,97639,40,2268,1530,3.800000000000002,2.909999999999998,0.0,0
0,24.552675958474477,99960,41,2321,1882,0.0,2.8390243902439005,0.0,0
0,25.30975899298986,102848,42,2888,1684,5.299999999999997,2.8976190476190458,0.0,0
0,25.674374266465506,104403,43,1555,511,0.0,2.830232558139533,0.0,0
0,26.243724906444548,106507,44,2104,1260,0.0,2.765909090909089,0.0,0
0,26.99485178788503,109286,45,2779,1950,5.099999999999999,2.817777777777776,0.0,0
0,27.835845029354097,112568,46,3282,1832,14.399999999999968,3.0695652173913017,0.0,0
0,28.409096507231393,114886,47,2318,1390,1.8000000000000005,3.0425531914893593,0.0,0
0,28.806064661343893,116339,48,1453,1035,0.0,2.9791666666666643,0.0,0
0,29.689481818675993,119490,49,3151,2023,13.599999999999971,3.195918367346936,0.0,0
0,30.41230765183767,122157,50,2667,2277,0.0,3.131999999999997,0.0,0
0,31.08001248439153,124588,51,2431,1572,19.499999999999986,3.4529411764705853,0.0,2
0,31.691711382071176,126764,52,2176,1339,18.49999999999998,3.742307692307689,0.05,2
0,32.49055948654811,129721,53,2957,2000,9.599999999999984,3.852830188679242,0.1,0
0,32.925615445772806,131437,54,1716,1061,2.400000000000001,3.825925925925923,0.3,0
0,33.64730761448542,134168,55,2731,1594,9.499999999999986,3.929090909090905,0.5,0
0,34.32680062055588,136813,56,2645,2321,0.0,3.8589285714285673,0.3,0
0,35.06518583297729,139561,57,2748,1897,5.699999999999996,3.8912280701754343,0.5,0
0,35.97404826084773,142887,58,3326,1151,3.600000000000002,3.88620689655172,1.1500000000000004,0
0,36.60432153940201,145294,59,2407,2024,0.0,3.8203389830508434,0.5,0
0,37.37668867905935,148173,60,2879,2033,3.3000000000000016,3.8116666666666625,1.1500000000000004,0
