,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state
0,1.5713439226150512,2765,1,2765,1976,3.4000000000000017,3.4000000000000017,3.4000000000000017,0
0,3.1634958664576214,5449,2,2684,2268,0.0,1.7000000000000008,1.7000000000000008,0
0,5.1682670911153155,8470,3,3021,2252,5.899999999999996,3.099999999999999,3.4000000000000017,0
0,6.748209659258524,11373,4,2903,2184,2.1000000000000005,2.8499999999999996,2.750000000000001,0
0,8.362886114915211,14080,5,2707,1601,8.399999999999988,3.9599999999999973,3.4000000000000017,0
0,10.016031312942506,16823,6,2743,1725,11.799999999999976,5.26666666666666,4.649999999999999,0
0,11.731078426043192,19852,7,3029,2207,4.6,5.1714285714285655,4.6,0
0,12.9975754181544,22286,8,2434,1832,0.0,4.524999999999995,4.000000000000001,0
0,14.374809141953786,24502,9,2216,1155,3.2000000000000015,4.377777777777774,3.4000000000000017,0
0,15.984674616654713,27442,10,2940,1922,0.0,3.9399999999999964,3.3000000000000016,0
0,17.53166077931722,30161,11,2719,2240,0.0,3.5818181818181785,3.2000000000000015,0
0,18.88256452480952,32629,12,2468,1747,0.0,3.28333333333333,2.6500000000000012,0
0,20.56203719774882,35470,13,2841,2004,7.19999999999999,3.5846153846153808,3.2000000000000015,0
0,21.49231820901235,37230,14,1760,936,3.1000000000000014,3.5499999999999967,3.1500000000000012,0
0,23.733327643076578,40829,15,3599,2268,12.199999999999974,4.126666666666662,3.2000000000000015,1
0,25.852897556622825,44062,16,3233,2017,14.799999999999965,4.793749999999993,3.3000000000000016,0
0,27.091868289311726,46051,17,1989,268,0.1,4.517647058823522,3.2000000000000015,0
0,28.35753514766693,48233,18,2182,1286,0.0,4.26666666666666,3.1500000000000012,0
0,29.85855552752813,50455,19,2222,1824,0.0,4.042105263157889,3.1000000000000014,0
0,32.354941538969676,54054,20,3599,2764,7.79999999999999,4.229999999999994,3.1500000000000012,1
0,34.62995933294296,57653,21,3599,2368,15.59999999999996,4.771428571428564,3.2000000000000015,1
0,36.01911681493123,59860,22,2207,1807,0.0,4.554545454545448,3.1500000000000012,0
0,37.916451307137805,62974,23,3114,1396,5.099999999999998,4.57826086956521,3.2000000000000015,0
0,39.448466738065086,65504,24,2530,1571,8.599999999999987,4.745833333333326,3.3000000000000016,0
0,40.83506187200546,67798,25,2294,1329,0.6,4.579999999999993,3.2000000000000015,0
0,42.45846282641093,70406,26,2608,2236,0.0,4.403846153846147,3.1500000000000012,0
0,43.976032988230386,73142,27,2736,2134,2.500000000000001,4.333333333333327,3.1000000000000014,0
0,45.883531800905864,76375,28,3233,1350,2.600000000000001,4.271428571428564,2.8500000000000014,0
0,47.36393376986186,78800,29,2425,1583,0.0,4.124137931034476,2.600000000000001,0
0,49.17790732781092,81796,30,2996,2137,7.19999999999999,4.22666666666666,2.8500000000000014,0
0,50.034015695254006,83222,31,1426,1060,0.0,4.090322580645155,2.600000000000001,0
0,51.1043137828509,84868,32,1646,1192,0.0,3.962499999999994,2.5500000000000007,0
0,52.8926993171374,87471,33,2603,1817,3.4000000000000017,3.94545454545454,2.600000000000001,0
0,54.217867883046466,89537,34,2066,1198,0.0,3.829411764705877,2.5500000000000007,0
0,54.99541122913361,91191,35,1654,103,0.0,3.719999999999995,2.500000000000001,0
0,56.533976491292314,93427,36,2236,1858,0.0,3.616666666666662,2.3000000000000007,0
0,58.495562223593396,96643,37,3216,2262,6.499999999999993,3.6945945945945895,2.500000000000001,0
0,60.00617108742396,99347,38,2704,2317,0.0,3.597368421052627,2.3000000000000007,0
0,60.851337575912474,100860,39,1513,101,0.0,3.5051282051282007,2.1000000000000005,0
0,62.496515202522275,103629,40,2769,2088,2.800000000000001,3.487499999999996,2.3000000000000007,0
0,63.94367818832397,106409,41,2780,2133,2.0000000000000004,3.451219512195118,2.1000000000000005,0
0,66.64056660334269,110008,42,3599,2340,18.899999999999995,3.8190476190476152,2.3000000000000007,1
0,68.25017024278641,112804,43,2796,1992,4.899999999999999,3.844186046511624,2.500000000000001,0
0,70.00183477401734,115787,44,2983,2119,5.299999999999997,3.877272727272724,2.5500000000000007,0
0,71.33544085025787,118402,45,2615,2103,1.6000000000000003,3.826666666666663,2.500000000000001,0
0,73.46474132140477,121760,46,3358,2380,4.4,3.8391304347826054,2.5500000000000007,0
0,75.41530987819036,124528,47,2768,1850,3.700000000000002,3.8361702127659543,2.600000000000001,0
0,76.36148036718369,126329,48,1801,270,0.0,3.756249999999996,2.5500000000000007,0
0,78.04743256171544,129142,49,2813,2286,0.7999999999999999,3.6959183673469354,2.500000000000001,0
0,79.92690441211064,132056,50,2914,2015,6.799999999999992,3.757999999999996,2.5500000000000007,0
0,81.45737320184708,134490,51,2434,1542,5.399999999999997,3.790196078431369,2.600000000000001,0
0,83.19328077236811,137470,52,2980,2124,5.4999999999999964,3.8230769230769193,2.700000000000001,0
0,84.3555758714676,139249,53,1779,1276,0.0,3.7509433962264116,2.600000000000001,0
0,86.53003206253052,142667,54,3418,2456,8.999999999999986,3.848148148148144,2.700000000000001,1
0,88.58981009324391,146108,55,3441,2382,9.599999999999982,3.9527272727272686,2.800000000000001,1
0,89.49627327919006,148160,56,2052,783,0.2,3.885714285714282,2.700000000000001,0
