,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state,value_change,value_iteration
0,0.6526581128438314,2737,1,2737,2507,0.9999999999999999,0.9999999999999999,0.9999999999999999,0,9.942552569792928,0
0,1.1641270875930787,4469,2,1732,981,12.999999999999975,6.999999999999988,6.999999999999988,2,9.942552569792928,0
0,1.770077157020569,6414,3,1945,1519,0.8999999999999999,4.966666666666659,0.9999999999999999,0,9.942552569792928,0
0,2.8268641074498495,9797,4,3383,1876,9.799999999999983,6.17499999999999,5.3999999999999915,0,9.942552569792928,0
0,3.241059132417043,11190,5,1393,801,9.099999999999998,6.759999999999991,9.099999999999998,2,9.942552569792928,0
0,4.392444797356924,14789,6,3599,1737,17.299999999999976,8.516666666666655,9.44999999999999,1,0.6585412680339175,1
0,4.93179634809494,16530,7,1741,878,8.799999999999994,8.557142857142846,9.099999999999998,2,0.6585412680339175,1
0,5.941464114189148,19821,8,3291,1720,12.299999999999974,9.024999999999988,9.44999999999999,0,0.6585412680339175,1
0,6.929004355271657,23014,9,3193,2318,2.400000000000001,8.288888888888879,9.099999999999998,0,0.6585412680339175,1
0,7.31285685300827,24424,10,1410,708,8.399999999999999,8.299999999999992,8.949999999999996,2,0.6585412680339175,1
0,8.076157633463541,27175,11,2751,1375,15.099999999999968,8.918181818181807,9.099999999999998,2,0.05521943979484556,2
0,8.825191835562388,29711,12,2536,1256,15.099999999999973,9.433333333333321,9.44999999999999,2,0.05521943979484556,2
0,9.28661869764328,31362,13,1651,817,10.199999999999992,9.49230769230768,9.799999999999983,2,0.05521943979484556,2
0,9.76946914990743,32948,14,1586,786,8.999999999999993,9.457142857142845,9.44999999999999,2,0.05521943979484556,2
0,10.559355270862579,35522,15,2574,1238,16.999999999999964,9.959999999999987,9.799999999999983,2,0.05521943979484556,2
0,10.92419437567393,36806,16,1284,626,9.099999999999993,9.906249999999986,9.44999999999999,2,0.003740255203628029,3
0,11.410207259655,38394,17,1588,778,8.899999999999991,9.847058823529396,9.099999999999998,2,0.003740255203628029,3
0,12.03033565680186,40461,18,2067,1029,4.799999999999999,9.566666666666654,9.099999999999994,0,0.003740255203628029,3
0,12.520205314954122,42230,19,1769,875,9.399999999999997,9.557894736842092,9.099999999999998,2,0.003740255203628029,3
0,12.970183579126994,43656,20,1426,711,12.399999999999984,9.699999999999987,9.249999999999996,2,0.003740255203628029,3
0,13.639096025625864,45955,21,2299,1153,20.29999999999997,10.204761904761892,9.399999999999997,2,0.0002885597624460168,4
0,14.2908460577329,48123,22,2168,1081,12.69999999999998,10.318181818181806,9.59999999999999,2,0.0002885597624460168,4
0,15.339878741900126,51438,23,3315,1634,13.19999999999997,10.44347826086955,9.799999999999983,0,0.0002885597624460168,4
0,15.695709383487701,52679,24,1241,609,7.399999999999997,10.316666666666654,9.59999999999999,2,0.0002885597624460168,4
0,16.296340672175088,54724,25,2045,1001,13.09999999999998,10.427999999999987,9.799999999999983,2,0.0002885597624460168,4
0,16.76691302458445,56259,26,1535,753,9.399999999999991,10.388461538461524,9.59999999999999,2,2.8764577142487147e-05,5
0,17.10558346907298,57430,27,1171,576,7.799999999999997,10.292592592592579,9.399999999999997,2,2.8764577142487147e-05,5
0,17.43589615424474,58588,28,1158,568,8.1,10.214285714285703,9.399999999999995,2,2.8764577142487147e-05,5
0,18.29901283979416,61646,29,3058,1454,10.499999999999979,10.224137931034472,9.399999999999997,0,2.8764577142487147e-05,5
0,18.681816776593525,62995,30,1349,665,8.299999999999997,10.15999999999999,9.399999999999995,2,2.8764577142487147e-05,5
0,19.5486310561498,66019,31,3024,1517,8.699999999999985,10.112903225806441,9.399999999999991,0,2.8210080708079843e-06,6
0,20.05590546131134,67829,32,1810,892,10.499999999999991,10.124999999999988,9.399999999999995,2,2.8210080708079843e-06,6
0,20.767769034703573,70150,33,2321,1159,16.199999999999967,10.309090909090896,9.399999999999997,2,2.8210080708079843e-06,6
0,21.590028099219005,73057,34,2907,1453,7.19999999999999,10.217647058823516,9.399999999999995,0,2.8210080708079843e-06,6
0,22.4462389310201,75892,35,2835,1431,13.59999999999997,10.3142857142857,9.399999999999997,0,2.8210080708079843e-06,6
0,23.43879292011261,78968,36,3076,1488,26.000000000000007,10.749999999999988,9.59999999999999,2,2.8116644923414924e-07,7
0,23.99051276445389,80775,37,1807,907,9.59999999999999,10.718918918918906,9.59999999999999,2,2.8116644923414924e-07,7
0,24.46990527709325,82410,38,1635,808,9.599999999999989,10.689473684210512,9.59999999999999,2,2.8116644923414924e-07,7
0,24.871536187330882,84020,39,1610,797,11.999999999999986,10.72307692307691,9.59999999999999,2,2.8116644923414924e-07,7
0,25.242045005162556,85365,40,1345,666,9.399999999999991,10.689999999999987,9.59999999999999,2,2.8116644923414924e-07,7
0,25.775534160931905,87408,41,2043,1016,9.89999999999999,10.67073170731706,9.59999999999999,2,2.8116644956721615e-08,8
0,26.588012691338857,90357,42,2949,1410,17.699999999999974,10.838095238095224,9.699999999999987,2,2.8116644956721615e-08,8
0,26.87572149038315,91446,43,1089,538,9.099999999999996,10.797674418604638,9.59999999999999,2,2.8116644956721615e-08,8
0,27.38380817572276,93385,44,1939,966,10.999999999999984,10.802272727272715,9.699999999999987,2,2.8116644956721615e-08,8
0,27.849620350201924,95126,45,1741,866,14.599999999999973,10.886666666666654,9.799999999999983,2,2.8116644956721615e-08,8
0,28.393536166350046,97077,46,1951,966,11.999999999999986,10.910869565217379,9.849999999999987,2,2.8079272240688624e-09,9
0,28.737301846345265,98351,47,1274,638,8.099999999999994,10.851063829787222,9.799999999999983,2,2.8079272240688624e-09,9
0,29.046311676502228,99470,48,1119,553,8.099999999999994,10.793749999999987,9.699999999999987,2,2.8079272240688624e-09,9
0,29.412156184514362,100945,49,1475,732,9.199999999999998,10.761224489795906,9.59999999999999,2,2.8079272240688624e-09,9
0,30.174258089065553,103917,50,2972,1413,14.299999999999974,10.831999999999987,9.699999999999987,2,2.8079272240688624e-09,9
