,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state
0,1.0621263225873312,2370,1,2370,989,0.0,0.0,0.0,0
0,2.8863595128059387,5711,2,3341,2195,12.199999999999973,6.099999999999986,6.099999999999986,0
0,3.7451213240623473,7878,3,2167,540,0.0,4.0666666666666575,0.0,0
0,5.134509841601054,10669,4,2791,2218,0.9999999999999999,3.299999999999993,0.49999999999999994,0
0,6.6609843651453655,13575,5,2906,2140,5.199999999999998,3.679999999999994,0.9999999999999999,0
0,7.668674647808075,15756,6,2181,1340,0.0,3.0666666666666615,0.49999999999999994,0
0,9.19623791774114,18698,7,2942,2152,2.800000000000001,3.0285714285714245,0.9999999999999999,0
0,10.585253997643788,21556,8,2858,1717,6.799999999999992,3.4999999999999956,1.9000000000000006,0
0,12.343886037667593,24803,9,3247,2148,8.199999999999989,4.022222222222217,2.800000000000001,0
0,13.469123570124308,26947,10,2144,1494,2.500000000000001,3.869999999999995,2.6500000000000012,0
0,14.681759146849314,29197,11,2250,1817,0.2,3.536363636363632,2.500000000000001,0
0,16.059974575042723,31700,12,2503,2122,0.0,3.241666666666663,1.7500000000000004,0
0,17.33529222011566,34205,13,2505,1991,0.0,2.992307692307689,0.9999999999999999,0
0,19.24089268843333,37531,14,3326,2274,13.999999999999968,3.7785714285714227,1.7500000000000004,0
0,20.11317853132884,39134,15,1603,1150,0.0,3.5266666666666615,0.9999999999999999,0
0,21.45892698764801,41899,16,2765,2345,0.0,3.306249999999995,0.6,0
0,22.44300216039022,43916,17,2017,1303,0.0,3.111764705882348,0.2,0
0,23.265092849731445,45861,18,1945,553,0.2,2.9499999999999957,0.2,0
0,25.0431787610054,49223,19,3362,1547,22.300000000000036,3.968421052631577,0.2,0
0,26.777726046244304,52070,20,2847,2038,3.3000000000000016,3.934999999999998,0.6,0
0,27.947213045756023,54422,21,2352,1986,0.0,3.747619047619046,0.2,0
0,30.024768296877543,58021,22,3599,2580,7.399999999999991,3.9136363636363614,0.6,1
0,30.87243971427282,60158,23,2137,389,0.0,3.743478260869563,0.2,0
0,31.537029389540354,62004,24,1846,229,0.0,3.587499999999998,0.2,0
0,32.82289762099584,64674,25,2670,1904,0.0,3.443999999999998,0.2,0
0,34.22197373310725,67409,26,2735,1975,4.100000000000001,3.4692307692307676,0.2,0
0,35.637093834082286,70161,27,2752,2282,0.9999999999999999,3.3777777777777764,0.2,0
0,37.100464975833894,73050,28,2889,2026,3.4000000000000017,3.3785714285714272,0.6,0
0,38.55719521840413,75879,29,2829,1936,5.1999999999999975,3.4413793103448267,0.9999999999999999,0
0,40.017412932713825,78706,30,2827,2047,3.2000000000000015,3.4333333333333322,0.9999999999999999,0
0,41.83678360382716,82305,31,3599,2283,13.299999999999969,3.7516129032258045,0.9999999999999999,1
0,43.53665916919708,85620,32,3315,2255,11.299999999999976,3.9874999999999967,1.7500000000000004,0
0,44.06366883913676,87146,33,1526,150,0.0,3.8666666666666636,0.9999999999999999,0
0,44.704724701245624,88931,34,1785,205,0.1,3.7558823529411733,0.9999999999999999,0
0,46.353138339519504,92222,35,3291,2092,22.900000000000052,4.302857142857141,0.9999999999999999,0
0,47.98928836584091,95348,36,3126,1797,10.899999999999979,4.486111111111109,1.7500000000000004,0
0,49.46318114995957,98229,37,2881,2057,4.899999999999999,4.497297297297295,2.500000000000001,0
0,50.24957159757614,99870,38,1641,1203,0.0,4.37894736842105,1.7500000000000004,0
0,51.64553051789601,102575,39,2705,1735,10.59999999999998,4.538461538461536,2.500000000000001,0
0,52.700030136108396,104598,40,2023,1659,0.0,4.424999999999998,1.7500000000000004,0
0,54.03987113237381,107092,41,2494,2169,0.0,4.317073170731705,0.9999999999999999,0
0,55.79632989565531,110562,42,3470,2479,8.899999999999984,4.426190476190474,1.7500000000000004,1
0,57.17945080200831,113467,43,2905,2501,0.0,4.323255813953486,0.9999999999999999,0
0,58.456292645136514,116171,44,2704,1720,12.099999999999975,4.4999999999999964,1.7500000000000004,0
0,59.27999345461527,118336,45,2165,291,0.0,4.399999999999997,0.9999999999999999,0
0,60.52228671709697,120995,46,2659,1706,2.400000000000001,4.356521739130431,1.7000000000000004,0
0,62.28354447285334,124361,47,3366,2269,13.09999999999997,4.542553191489358,2.400000000000001,0
0,63.61387014389038,127100,48,2739,1843,10.39999999999998,4.664583333333329,2.450000000000001,0
0,64.71385312875113,129213,49,2113,1633,0.0,4.569387755102037,2.400000000000001,0
0,66.09829623699189,131984,50,2771,1976,6.799999999999992,4.613999999999995,2.450000000000001,0
0,67.87898589769999,135583,51,3599,2419,11.899999999999974,4.756862745098035,2.500000000000001,1
0,68.80132228533427,137573,52,1990,1440,0.0,4.665384615384611,2.450000000000001,0
0,69.98966683149338,140273,53,2700,2188,0.0,4.577358490566033,2.400000000000001,0
0,71.0905884861946,143034,54,2761,1902,0.0,4.4925925925925885,1.7000000000000004,0
0,72.36959850788116,145857,55,2823,2041,6.8999999999999915,4.536363636363633,2.400000000000001,0
0,73.70186074972153,148518,56,2661,1909,4.699999999999999,4.53928571428571,2.450000000000001,0
0,74.83785964250565,151314,57,2796,2067,2.600000000000001,4.505263157894733,2.500000000000001,0
