,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state
0,1.069999885559082,2607,1,2607,2178,0.0,0.0,0.0,0
0,1.7370012084643045,4441,2,1834,280,0.0,0.0,0.0,0
0,2.692180593808492,6488,3,2047,1607,0.0,0.0,0.0,0
0,3.334938637415568,8255,4,1767,262,0.0,0.0,0.0,0
0,4.686059602101644,11208,5,2953,2098,3.800000000000002,0.7600000000000005,0.0,0
0,6.144668372472127,14245,6,3037,1929,13.099999999999971,2.8166666666666624,0.0,0
0,7.6038495063781735,17247,7,3002,1899,9.699999999999982,3.7999999999999936,0.0,0
0,8.51905252536138,19383,8,2136,660,1.8000000000000005,3.5499999999999945,0.9000000000000002,0
0,9.523224949836731,21775,9,2392,1537,2.0000000000000004,3.377777777777773,1.8000000000000005,0
0,10.521173854668936,24142,10,2367,2003,0.0,3.0399999999999956,0.9000000000000002,0
0,12.212962241967519,27741,11,3599,2160,14.199999999999966,4.054545454545448,1.8000000000000005,1
0,13.054371639092762,29679,12,1938,1521,0.0,3.71666666666666,0.9000000000000002,0
0,13.863149829705556,31818,13,2139,299,0.0,3.430769230769225,0.0,0
0,14.652182952562969,33446,14,1628,930,3.0000000000000013,3.3999999999999946,0.9000000000000002,0
0,16.241299800078075,36714,15,3268,1037,2.3000000000000007,3.3266666666666613,1.8000000000000005,0
0,17.192708400885262,38853,16,2139,649,0.0,3.1187499999999955,0.9000000000000002,0
0,17.938567566871644,40434,17,1581,1008,12.09999999999998,3.6470588235294064,1.8000000000000005,2
0,18.99674274921417,42645,18,2211,1085,0.8999999999999999,3.494444444444439,1.35,0
0,20.562653772036235,45684,19,3039,2087,9.199999999999985,3.7947368421052574,1.8000000000000005,0
0,21.015372558434805,46915,20,1231,75,0.0,3.6049999999999947,1.35,0
0,22.419428078333535,50005,21,3090,2414,1.5000000000000002,3.5047619047619,1.5000000000000002,0
0,23.769696827729543,52762,22,2757,1932,5.099999999999998,3.5772727272727223,1.6500000000000004,0
0,25.08948207696279,55686,23,2924,2151,3.5000000000000018,3.5739130434782562,1.8000000000000005,0
0,26.353624550501504,58475,24,2789,1656,10.39999999999998,3.8583333333333276,1.9000000000000004,0
0,27.69608135620753,61519,25,3044,2143,6.099999999999995,3.9479999999999946,2.0000000000000004,0
0,28.632342751820882,63865,26,2346,1868,0.0,3.7961538461538407,1.9000000000000004,0
0,29.362980298201244,65624,27,1759,1241,0.0,3.6555555555555506,1.8000000000000005,0
0,30.365859274069468,67862,28,2238,1875,0.0,3.524999999999995,1.6500000000000004,0
0,31.87475901444753,71215,29,3353,2243,11.499999999999975,3.799999999999994,1.8000000000000005,0
0,32.985789612929025,73801,30,2586,1639,6.2999999999999945,3.8833333333333275,1.9000000000000004,0
0,33.930777100722,75952,31,2151,1768,0.0,3.7580645161290267,1.8000000000000005,0
0,34.84069759448369,78244,32,2292,1734,0.0,3.6406249999999947,1.6500000000000004,0
0,35.98496065139771,80733,33,2489,1138,4.799999999999999,3.6757575757575705,1.8000000000000005,0
0,36.740325367450716,82558,34,1825,935,1.0999999999999999,3.5999999999999948,1.6500000000000004,0
0,37.89174818197886,84834,35,2276,1420,7.699999999999989,3.7171428571428513,1.8000000000000005,0
0,39.02571942011515,87156,36,2322,1537,3.700000000000002,3.7166666666666606,1.9000000000000004,0
0,40.524646858374275,90105,37,2949,2055,8.099999999999987,3.835135135135129,2.0000000000000004,0
0,42.26134585142135,93552,38,3447,2485,5.499999999999997,3.8789473684210467,2.1500000000000004,1
0,43.39743353923162,95785,39,2233,1803,0.0,3.7794871794871736,2.0000000000000004,0
0,44.74884238243103,98310,40,2525,1683,7.29999999999999,3.8674999999999953,2.1500000000000004,0
0,46.52469490369161,101727,41,3417,2361,13.899999999999967,4.112195121951214,2.3000000000000007,1
0,47.71308343410492,103957,42,2230,1429,18.999999999999975,4.4666666666666615,2.6500000000000012,2
0,49.056988906860354,106693,43,2736,2230,0.4,4.372093023255808,2.3000000000000007,0
0,49.914172768592834,108653,44,1960,649,0.0,4.272727272727267,2.1500000000000004,0
0,51.57494601011276,111555,45,2902,2096,6.399999999999993,4.319999999999995,2.3000000000000007,0
0,52.86260312795639,114079,46,2524,1524,7.39999999999999,4.386956521739125,2.6500000000000012,0
0,53.78745866219203,115876,47,1797,1046,3.0000000000000013,4.357446808510633,3.0000000000000013,0
0,55.409234182039896,118761,48,2885,2125,3.600000000000002,4.341666666666661,3.0000000000000013,0
0,56.51657249530157,120876,49,2115,1776,0.0,4.25306122448979,3.0000000000000013,0
0,58.35811632474263,124193,50,3317,2327,5.999999999999995,4.287999999999994,3.0000000000000013,0
0,60.10653335650762,127446,51,3253,1633,12.79999999999997,4.454901960784308,3.0000000000000013,0
0,61.94723341067632,131045,52,3599,2350,11.199999999999976,4.584615384615379,3.2500000000000018,1
0,63.24291208585103,133782,53,2737,1706,0.0,4.498113207547164,3.0000000000000013,0
0,64.17859747409821,135686,54,1904,1484,0.0,4.414814814814809,3.0000000000000013,0
0,65.53305614391962,138604,55,2918,1684,1.9000000000000006,4.369090909090904,3.0000000000000013,0
0,67.00920565923055,141548,56,2944,1965,3.4000000000000017,4.351785714285708,3.0000000000000013,0
0,68.83426527579626,144844,57,3296,2144,18.499999999999982,4.599999999999993,3.0000000000000013,0
0,70.13351458708445,147557,58,2713,2044,2.2000000000000006,4.558620689655166,3.0000000000000013,0
0,71.43354833126068,150183,59,2626,2206,0.0,4.481355932203384,3.0000000000000013,0
0,72.9344263712565,152994,60,2811,2095,3.1000000000000014,4.458333333333328,3.0000000000000013,0
