,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state
0,1.3497377713521321,2444,1,2444,1346,8.999999999999986,8.999999999999986,8.999999999999986,0
0,2.80119389295578,5040,2,2596,1391,8.499999999999988,8.749999999999986,8.749999999999986,0
0,4.131368331114451,7490,3,2450,1346,6.699999999999993,8.066666666666654,8.499999999999988,0
0,5.54675741593043,10113,4,2623,1455,7.29999999999999,7.8749999999999885,7.899999999999989,0
0,7.476641261577607,13696,5,3583,2362,1.0,6.499999999999991,7.29999999999999,1
0,8.67491960922877,15939,6,2243,1243,9.099999999999985,6.933333333333324,7.899999999999989,0
0,10.170764458179473,18547,7,2608,1405,14.799999999999974,8.057142857142846,8.499999999999988,0
0,11.655711142222087,21102,8,2555,1369,10.29999999999998,8.337499999999986,8.749999999999986,0
0,13.186107269922893,23884,9,2782,1555,5.299999999999998,7.999999999999988,8.499999999999988,0
0,14.398453366756438,26146,10,2262,1344,0.5,7.2499999999999885,7.899999999999989,0
0,16.214414898554484,29464,11,3318,1940,7.6999999999999895,7.2909090909090795,7.6999999999999895,0
0,17.422572898864747,32132,12,2668,588,1.3,6.791666666666656,7.499999999999989,0
0,18.776589147249858,34510,13,2378,1343,10.999999999999979,7.115384615384604,7.6999999999999895,0
0,19.976969202359516,36713,14,2203,1240,9.699999999999983,7.299999999999989,8.099999999999989,0
0,21.625742201010386,39583,15,2870,1628,5.699999999999997,7.193333333333324,7.6999999999999895,0
0,22.99066576162974,42034,16,2451,1408,8.599999999999987,7.2812499999999885,8.099999999999989,0
0,24.63907115062078,45359,17,3325,827,4.200000000000001,7.099999999999989,7.6999999999999895,0
0,26.017233403523765,47956,18,2597,1269,7.799999999999988,7.138888888888878,7.749999999999989,0
0,27.734105853239694,50865,19,2909,1484,5.1999999999999975,7.036842105263147,7.6999999999999895,0
0,29.397760939598083,54046,20,3181,2285,0.30000000000000004,6.69999999999999,7.499999999999989,0
0,30.361475026607515,55915,21,1869,1153,14.699999999999976,7.080952380952371,7.6999999999999895,2
0,31.791706522305805,58555,22,2640,1465,7.099999999999991,7.081818181818172,7.499999999999989,0
0,33.57922474543253,61573,23,3018,1475,4.699999999999999,6.978260869565207,7.29999999999999,0
0,34.867756454149884,63972,24,2399,1363,7.39999999999999,6.995833333333324,7.34999999999999,0
0,36.26954507430394,66602,25,2630,1459,9.099999999999984,7.079999999999991,7.39999999999999,0
0,37.56177442073822,69409,26,2807,592,2.2000000000000006,6.892307692307683,7.34999999999999,0
0,39.26240712404251,72671,27,3262,1756,6.299999999999994,6.8703703703703605,7.29999999999999,0
0,40.58127394119899,75196,28,2525,1311,7.699999999999989,6.899999999999991,7.34999999999999,0
0,41.11715460618337,76830,29,1634,178,0.0,6.662068965517232,7.29999999999999,0
0,42.49357391993205,79325,30,2495,1349,12.099999999999973,6.843333333333323,7.34999999999999,0
0,44.03164653778076,82290,31,2965,1384,8.299999999999986,6.890322580645151,7.39999999999999,0
0,45.66099158922831,85859,32,3569,1384,5.899999999999997,6.85937499999999,7.34999999999999,1
0,46.99810330867767,88670,33,2811,958,7.899999999999993,6.890909090909082,7.39999999999999,0
0,48.48833150068919,91333,34,2663,1383,10.599999999999987,6.999999999999991,7.549999999999989,0
