,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state
0,1.310538411140442,2675,1,2675,1546,8.899999999999986,8.899999999999986,8.899999999999986,0
0,2.3853239893913267,4654,2,1979,1207,15.499999999999973,12.19999999999998,12.19999999999998,2
0,3.7433433810869854,7279,3,2625,1361,8.899999999999988,11.099999999999982,8.899999999999988,0
0,4.980253819624583,9733,4,2454,1369,8.199999999999987,10.374999999999984,8.899999999999988,0
0,5.66066532532374,11496,5,1763,282,0.2,8.339999999999987,8.899999999999986,0
0,7.329670091470082,14685,6,3189,1263,12.199999999999976,8.983333333333318,8.899999999999988,0
0,8.43265700340271,17271,7,2586,1946,0.0,7.699999999999988,8.899999999999986,0
0,9.764294489224751,19857,8,2586,1446,6.899999999999992,7.599999999999987,8.549999999999986,0
0,11.142988423506418,22581,9,2724,1511,5.999999999999995,7.422222222222211,8.199999999999987,0
0,12.042661527792612,24519,10,1938,1158,14.599999999999973,8.139999999999986,8.549999999999986,2
0,12.996872154871623,26599,11,2080,1181,17.099999999999962,8.954545454545439,8.899999999999986,2
0,13.7979638894399,28265,12,1666,1019,13.499999999999973,9.333333333333316,8.899999999999988,2
0,15.205779874324799,31122,13,2857,1595,4.799999999999999,8.984615384615369,8.899999999999986,0
0,17.032049942016602,34721,14,3599,1543,15.899999999999961,9.478571428571412,8.899999999999988,1
0,17.788804296652476,36406,15,1685,932,12.099999999999985,9.653333333333316,8.899999999999988,2
0,18.624463748931884,38051,16,1645,977,13.899999999999972,9.918749999999983,10.499999999999986,2
0,19.751794759432475,40371,17,2320,1258,6.899999999999994,9.74117647058822,8.899999999999988,0
0,21.050935026009878,43089,18,2718,1527,11.399999999999977,9.833333333333318,10.149999999999983,0
0,22.483440228303273,45998,19,2909,1596,4.899999999999999,9.5736842105263,8.899999999999988,0
0,23.715389796098073,48324,20,2326,1727,0.0,9.094999999999986,8.899999999999988,0
0,24.881829245885214,50732,21,2408,1328,9.899999999999983,9.133333333333319,8.899999999999988,0
0,25.96400467157364,52950,22,2218,1220,8.399999999999988,9.099999999999985,8.899999999999988,0
0,27.092469108104705,55102,23,2152,1130,3.1000000000000014,8.839130434782595,8.899999999999986,0
0,28.58294055859248,58138,24,3036,1449,6.799999999999992,8.754166666666652,8.649999999999988,0
0,29.948778784275056,60818,25,2680,1434,8.899999999999988,8.759999999999986,8.899999999999986,0
0,31.367523884773256,63547,26,2729,1221,12.699999999999974,8.911538461538445,8.899999999999988,0
0,33.375308406353,67146,27,3599,1649,27.100000000000087,9.585185185185173,8.899999999999988,1
0,34.70581835110982,69644,28,2498,1363,10.099999999999984,9.603571428571415,8.899999999999988,0
0,35.854345858097076,71752,29,2108,1162,16.99999999999996,9.858620689655158,8.899999999999988,2
0,36.98535852829615,73993,30,2241,1701,0.1,9.53333333333332,8.899999999999988,0
0,38.183266417185465,76461,31,2468,1337,9.099999999999984,9.519354838709663,8.899999999999988,0
0,39.21393101612727,79080,32,2619,433,0.4,9.23437499999999,8.899999999999988,0
0,40.56711845397949,81648,33,2568,1183,8.199999999999989,9.203030303030292,8.899999999999988,0
0,42.098840391635896,84359,34,2711,1557,9.099999999999985,9.199999999999989,8.899999999999988,0
0,43.38835000991821,86787,35,2428,1520,2.1000000000000005,8.997142857142848,8.899999999999988,0
0,44.60143225987752,89125,36,2338,1189,17.099999999999962,9.22222222222221,8.899999999999988,2
0,45.660320647557576,91394,37,2269,1248,11.999999999999979,9.297297297297286,8.899999999999988,0
0,47.031085733572645,94214,38,2820,1560,8.399999999999988,9.273684210526305,8.899999999999988,0
0,48.132721996307374,96393,39,2179,1412,0.4,9.046153846153835,8.899999999999988,0
0,49.484124672412875,98980,40,2587,1410,10.69999999999998,9.087499999999988,8.899999999999988,0
0,50.889687430858615,101627,41,2647,1419,10.499999999999982,9.121951219512182,8.899999999999988,0
0,51.90590310891469,103555,42,1928,1128,16.69999999999996,9.30238095238094,8.999999999999986,2
0,52.68557074467341,105031,43,1476,892,11.099999999999984,9.344186046511615,9.099999999999984,2
0,53.94749397834142,107213,44,2182,1164,19.099999999999984,9.565909090909077,9.099999999999984,2
0,55.32591517368952,109771,45,2558,1461,11.699999999999976,9.613333333333319,9.099999999999985,0
0,56.03206667502721,111185,46,1414,751,9.499999999999996,9.610869565217378,9.29999999999999,2
0,57.52413941621781,114023,47,2838,1413,6.799999999999993,9.551063829787221,9.099999999999985,0
0,58.90102177063624,116548,48,2525,1413,8.899999999999986,9.537499999999987,9.099999999999984,0
0,60.43892432053884,119176,49,2628,1402,11.599999999999975,9.57959183673468,9.099999999999985,0
0,61.54789247910182,121392,50,2216,1167,19.19999999999998,9.771999999999986,9.29999999999999,2
0,63.18831144571304,124493,51,3101,1899,6.099999999999994,9.699999999999987,9.099999999999985,0
0,64.51933149894079,126916,52,2423,1309,8.999999999999984,9.686538461538449,9.099999999999984,0
0,65.90362868706386,129351,53,2435,1629,2.1000000000000005,9.543396226415084,9.099999999999984,0
0,67.4744399189949,132230,54,2879,2017,0.6000000000000001,9.377777777777768,9.049999999999983,0
0,68.98343927065531,135181,55,2951,1994,0.4,9.214545454545444,8.999999999999984,0
0,69.74298109610875,136607,56,1426,826,10.599999999999987,9.239285714285703,9.049999999999983,2
0,71.10031250715255,139202,57,2595,1394,9.599999999999982,9.245614035087709,9.099999999999984,0
0,72.35558617512385,141808,58,2606,1433,10.199999999999982,9.26206896551723,9.099999999999984,0
0,73.8889788866043,145052,59,3244,1789,6.5999999999999925,9.216949152542362,9.099999999999984,0
0,75.26178101301193,148198,60,3146,2074,3.5000000000000018,9.121666666666657,9.049999999999983,0
0,76.16668310165406,150669,61,2471,1403,10.09999999999998,9.137704918032778,9.099999999999984,0
0,77.13577472368875,153148,62,2479,1291,14.999999999999963,9.23225806451612,9.099999999999984,0
0,78.0341387629509,155568,63,2420,1303,8.499999999999986,9.220634920634911,9.099999999999984,0
0,79.33900413910548,158947,64,3379,2230,2.9000000000000012,9.121874999999987,9.049999999999983,0
0,80.7572098016739,162112,65,3165,1601,13.099999999999973,9.18307692307691,9.099999999999984,0
0,81.65780903498332,164468,66,2356,1251,7.399999999999991,9.156060606060594,9.049999999999983,0
0,82.7000238776207,167272,67,2804,1510,11.199999999999976,9.18656716417909,9.099999999999984,0
0,83.56409667730331,169376,68,2104,1522,0.0,9.051470588235281,9.049999999999983,0
0,84.66781491041183,172217,69,2841,1591,11.599999999999977,9.088405797101437,9.099999999999984,0
0,86.02720608313878,175816,70,3599,1202,18.499999999999996,9.22285714285713,9.099999999999984,1
0,86.78742335240047,177862,71,2046,1148,16.89999999999997,9.330985915492946,9.099999999999985,2
0,87.77224382162095,180208,72,2346,1354,10.39999999999998,9.345833333333319,9.29999999999999,0
