,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state
0,1.06029771566391,2156,1,2156,1753,0.0,0.0,0.0,0
0,2.0743091622988383,4106,2,1950,1167,0.0,0.0,0.0,0
0,3.4584956924120585,6813,3,2707,2342,0.0,0.0,0.0,0
0,5.513365972042084,10412,4,3599,2244,24.700000000000045,6.175000000000011,0.0,1
0,6.7728491504987085,12691,5,2279,1901,0.0,4.940000000000009,0.0,0
0,8.109231332937876,15269,6,2578,2200,0.1,4.133333333333341,0.0,0
0,9.281210283438364,17660,7,2391,1693,0.0,3.5428571428571494,0.0,0
0,11.074753963947296,20733,8,3073,2218,3.900000000000002,3.5875000000000057,0.0,0
0,12.257307521502177,23215,9,2482,1668,0.0,3.188888888888894,0.0,0
0,13.519713354110717,25912,10,2697,1492,0.0,2.8700000000000045,0.0,0
0,14.894540667533875,28444,11,2532,2197,0.0,2.6090909090909133,0.0,0
0,16.16833815177282,30857,12,2413,1623,3.0000000000000013,2.6416666666666706,0.0,0
0,17.620017302036285,33952,13,3095,882,5.899999999999995,2.8923076923076954,0.0,0
0,19.02845759789149,36496,14,2544,1662,22.000000000000014,4.257142857142861,0.0,2
0,20.52711799542109,39227,15,2731,2076,3.2000000000000015,4.18666666666667,0.0,0
0,21.994484400749208,42020,16,2793,1969,4.8,4.225000000000003,0.05,0
0,23.579419056574505,45001,17,2981,2165,4.699999999999999,4.252941176470592,0.1,0
0,24.723270201683043,47255,18,2254,1487,4.6,4.272222222222225,1.5500000000000007,0
0,25.846309475104015,49345,19,2090,1642,0.0,4.047368421052634,0.1,0
0,26.88378473917643,51434,20,2089,1488,0.0,3.8450000000000024,0.05,0
0,27.854769305388132,53380,21,1946,1450,0.0,3.661904761904764,0.0,0
0,29.025502848625184,55487,22,2107,1710,0.0,3.495454545454548,0.0,0
0,30.08343138694763,57422,23,1935,1369,0.0,3.3434782608695675,0.0,0
0,31.762398000558218,60347,24,2925,2142,4.6,3.3958333333333357,0.0,0
0,32.65136334498723,62158,25,1811,1337,0.0,3.2600000000000025,0.0,0
0,34.143146034081774,65033,26,2875,2025,5.1999999999999975,3.334615384615387,0.0,0
0,35.50186655918757,67653,27,2620,1693,7.699999999999989,3.4962962962962982,0.0,0
0,36.60345715681712,69978,28,2325,1501,0.0,3.371428571428573,0.0,0
0,37.786377449830375,72166,29,2188,1723,0.0,3.255172413793105,0.0,0
0,38.947057449817656,74372,30,2206,1388,16.699999999999964,3.7033333333333336,0.0,2
0,41.04028790394465,77971,31,3599,2318,18.999999999999993,4.196774193548387,0.0,1
0,41.974091200033826,80444,32,2473,267,1.2,4.103125,0.05,0
0,43.2563940167427,83137,33,2693,1380,1.7000000000000004,4.03030303030303,0.1,0
0,44.89033875465393,86241,34,3104,2281,3.800000000000002,4.023529411764706,0.65,0
0,46.09330022732417,88426,35,2185,1846,0.0,3.908571428571429,0.1,0
0,46.92559921344121,90126,36,1700,1272,0.0,3.8000000000000003,0.05,0
0,47.81241540511449,91844,37,1718,1044,12.49999999999998,4.0351351351351346,0.1,2
0,49.23698621590932,94618,38,2774,2087,2.9000000000000012,4.005263157894737,0.65,0
0,50.71356019973755,97490,39,2872,1483,3.4000000000000017,3.98974358974359,1.2,0
0,52.185676244894665,100423,40,2933,1868,4.899999999999999,4.0125,1.4500000000000002,0
0,53.9734058658282,103637,41,3214,1940,8.199999999999989,4.114634146341463,1.7000000000000004,0
0,54.84153992335002,105592,42,1955,513,0.0,4.016666666666667,1.4500000000000002,0
0,56.828625082969666,109030,43,3438,2415,9.199999999999983,4.137209302325581,1.7000000000000004,1
0,58.23714768886566,111830,44,2800,1957,5.4999999999999964,4.168181818181818,2.3000000000000007,0
0,59.59860096772512,114534,45,2704,2196,0.1,4.0777777777777775,1.7000000000000004,0
0,61.17553696235021,117457,46,2923,1892,12.099999999999975,4.252173913043477,2.3000000000000007,0
0,62.58444964090983,120233,47,2776,1969,5.099999999999999,4.270212765957445,2.9000000000000012,0
0,63.5926082054774,122518,48,2285,1432,0.0,4.181249999999999,2.3000000000000007,0
0,64.69268428484598,124870,49,2352,1932,0.0,4.095918367346937,1.7000000000000004,0
0,66.06847366889318,127587,50,2717,2023,3.600000000000002,4.0859999999999985,2.3000000000000007,0
0,67.54918822447459,130601,51,3014,2541,0.0,4.005882352941175,1.7000000000000004,0
0,69.14977325201035,133603,52,3002,2074,4.6,4.017307692307691,2.3000000000000007,0
0,70.2033718585968,135972,53,2369,1465,0.0,3.9415094339622625,1.7000000000000004,0
0,72.15070137580236,139444,54,3472,2435,7.49999999999999,4.007407407407406,2.3000000000000007,1
0,72.91812252998352,140999,55,1555,1112,0.0,3.9345454545454532,1.7000000000000004,0
0,74.46707209348679,144318,56,3319,2337,7.699999999999989,4.001785714285712,2.3000000000000007,0
0,75.41712282101314,147107,57,2789,1147,5.1999999999999975,4.022807017543858,2.9000000000000012,0
