,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state
0,1.9252915938695272,2987,1,2987,1697,9.999999999999982,9.999999999999982,9.999999999999982,0
0,4.047913837432861,6327,2,3340,1853,2.400000000000001,6.199999999999991,6.199999999999991,0
0,5.697617614269257,8642,3,2315,1235,10.899999999999979,7.766666666666654,9.999999999999982,0
0,6.604204694430034,10128,4,1486,903,10.19999999999999,8.374999999999988,10.099999999999987,2
0,7.964257148901622,12305,5,2177,1425,0.5,6.79999999999999,9.999999999999982,0
0,9.413871296246846,14481,6,2176,1184,3.3000000000000016,6.216666666666659,6.6499999999999915,0
0,11.72316346168518,17613,7,3132,1804,6.499999999999993,6.25714285714285,6.499999999999993,0
0,13.064078625043233,19954,8,2341,1444,0.7999999999999999,5.574999999999993,4.899999999999997,0
0,14.670545506477357,22509,9,2555,1296,9.299999999999983,5.988888888888881,6.499999999999993,0
0,16.60179922580719,25481,10,2972,1615,8.399999999999988,6.2299999999999915,7.44999999999999,0
0,18.347377983729043,28165,11,2684,1390,8.899999999999986,6.472727272727264,8.399999999999988,0
0,19.804910898208618,30498,12,2333,1271,9.199999999999985,6.699999999999991,8.649999999999988,0
0,21.23714895248413,32900,13,2402,1334,10.799999999999978,7.015384615384606,8.899999999999986,0
0,22.92117524544398,35338,14,2438,1276,9.599999999999984,7.1999999999999895,9.049999999999986,0
0,24.65786411364873,37869,15,2531,1135,0.0,6.71999999999999,8.899999999999986,0
0,25.489319030443827,39572,16,1703,260,0.4,6.32499999999999,8.649999999999988,0
0,26.905083231131236,41797,17,2225,1050,1.9000000000000008,6.064705882352932,8.399999999999988,0
0,28.80302338997523,44771,18,2974,1666,5.899999999999995,6.0555555555555465,7.44999999999999,0
0,30.838402191797893,47898,19,3127,1842,8.999999999999986,6.210526315789465,8.399999999999988,0
0,32.403197689851126,50482,20,2584,1413,8.999999999999984,6.349999999999991,8.649999999999988,0
0,33.9718798160553,52918,21,2436,1351,8.099999999999987,6.433333333333324,8.399999999999988,0
0,36.04759185314178,56348,22,3430,1872,3.600000000000002,6.304545454545445,8.249999999999988,1
0,37.32495325009028,58430,23,2082,1353,0.1,6.034782608695643,8.099999999999987,0
0,39.62203107277552,62029,24,3599,1372,19.199999999999992,6.583333333333325,8.249999999999988,1
0,41.11926254828771,64485,25,2456,1358,10.099999999999984,6.723999999999992,8.399999999999988,0
0,42.775078097979225,67120,26,2635,1462,7.699999999999989,6.7615384615384535,8.249999999999988,0
0,44.93967051903407,70474,27,3354,1782,9.599999999999987,6.866666666666658,8.399999999999988,0
0,46.13959672451019,72275,28,1801,1126,14.399999999999974,7.135714285714277,8.649999999999988,2
0,47.55485823949178,74863,29,2588,1414,5.999999999999995,7.096551724137923,8.399999999999988,0
0,49.29573833942413,78101,30,3238,2197,4.000000000000002,6.993333333333325,8.249999999999988,0
