,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state
0,1.3861589272816977,2155,1,2155,1810,0.0,0.0,0.0,0
0,3.1779428124427795,4924,2,2769,2219,0.2,0.1,0.1,0
0,4.895659971237182,7417,3,2493,1802,3.800000000000002,1.333333333333334,0.2,0
0,6.293457233905793,9590,4,2173,1844,0.0,1.0000000000000004,0.1,0
0,8.23873656988144,12645,5,3055,1932,1.7000000000000004,1.1400000000000003,0.2,0
0,10.519116989771526,15727,6,3082,1953,15.099999999999962,3.466666666666661,0.9500000000000002,0
0,12.811339962482453,18798,7,3071,2027,4.699999999999999,3.642857142857138,1.7000000000000004,0
0,14.913776739438374,21724,8,2926,1390,6.199999999999994,3.962499999999994,2.7500000000000013,0
0,16.882752815882366,24804,9,3080,2107,7.899999999999988,4.399999999999993,3.800000000000002,0
0,18.64888325929642,27722,10,2918,2459,0.1,3.969999999999994,2.7500000000000013,0
0,20.532649997870127,30653,11,2931,2105,4.100000000000002,3.9818181818181766,3.800000000000002,0
0,22.039827597141265,32867,12,2214,1665,0.0,3.649999999999995,2.7500000000000013,0
0,23.411295326550803,35301,13,2434,1068,0.0,3.369230769230765,1.7000000000000004,0
0,24.410306270917257,37032,14,1731,1245,0.0,3.128571428571424,0.9500000000000002,0
0,26.345096107323965,39963,15,2931,1384,3.3000000000000016,3.139999999999996,1.7000000000000004,0
0,27.653032994270326,42336,16,2373,1056,0.0,2.943749999999997,0.9500000000000002,0
0,28.696368964513145,44087,17,1751,1277,0.0,2.770588235294115,0.2,0
0,30.6612508614858,46812,18,2725,2200,2.0000000000000004,2.727777777777775,0.9500000000000002,0
0,32.33939442634583,49612,19,2800,1810,0.0,2.584210526315787,0.2,0
0,33.91039927800497,51983,20,2371,1537,7.69999999999999,2.839999999999997,0.9500000000000002,0
0,35.76996788183848,54743,21,2760,2192,0.1,2.7095238095238066,0.2,0
0,37.20278480052948,56973,22,2230,1840,0.0,2.5863636363636338,0.15000000000000002,0
0,38.80468697945277,59651,23,2678,2085,2.2000000000000006,2.5695652173913017,0.2,0
0,39.638998750845595,61074,24,1423,86,0.0,2.4624999999999972,0.15000000000000002,0
0,41.87988111972809,63944,25,2870,1980,8.799999999999986,2.7159999999999966,0.2,0
0,43.27419965664546,66234,26,2290,1898,0.0,2.6115384615384585,0.15000000000000002,0
0,44.88650187253952,69028,27,2794,2395,0.0,2.514814814814812,0.1,0
0,46.4512676358223,71172,28,2144,833,1.9000000000000006,2.49285714285714,0.15000000000000002,0
0,48.202738122145334,73920,29,2748,1856,4.000000000000002,2.544827586206894,0.2,0
0,49.95810950994492,76860,30,2940,2264,2.3000000000000007,2.536666666666664,0.9500000000000002,0
0,52.09284349679947,80258,31,3398,2474,4.5,2.5999999999999974,1.7000000000000004,0
0,53.95197401046753,83187,32,2929,2170,3.800000000000002,2.637499999999998,1.8000000000000005,0
0,56.13839171330134,86419,33,3232,2455,3.900000000000002,2.675757575757574,1.9000000000000006,0
0,57.98883305390676,89390,34,2971,1873,12.999999999999972,2.9794117647058798,1.9500000000000006,0
0,59.27138534784317,91737,35,2347,1985,0.0,2.894285714285712,1.9000000000000006,0
0,61.08613644838333,94474,36,2737,2101,3.5000000000000018,2.9111111111111088,1.9500000000000006,0
0,62.31394457022349,96553,37,2079,1240,18.199999999999974,3.3243243243243215,2.0000000000000004,2
0,64.42469764947892,99686,38,3133,2116,11.799999999999978,3.547368421052628,2.1000000000000005,0
0,65.66032392581305,101742,39,2056,1467,0.0,3.456410256410253,2.0000000000000004,0
0,67.47704582611719,104627,40,2885,408,2.1000000000000005,3.4224999999999968,2.0500000000000007,0
0,69.21083856026331,107521,41,2894,1264,3.5000000000000018,3.424390243902436,2.1000000000000005,0
0,71.11139322519303,110633,42,3112,2229,5.999999999999995,3.4857142857142827,2.1500000000000004,0
0,72.48945728143056,113099,43,2466,2022,0.0,3.4046511627906946,2.1000000000000005,0
0,74.42966156800588,116419,44,3320,2339,11.799999999999974,3.595454545454542,2.1500000000000004,0
0,75.60835103591283,118608,45,2189,639,0.30000000000000004,3.522222222222219,2.1000000000000005,0
0,77.1589584350586,121355,46,2747,2283,0.0,3.4456521739130404,2.0500000000000007,0
0,78.6074467142423,123467,47,2112,1771,0.0,3.372340425531912,2.0000000000000004,0
0,80.78657536506653,126775,48,3308,1679,11.299999999999976,3.5374999999999956,2.0500000000000007,0
0,82.42220755020777,129563,49,2788,684,2.9000000000000012,3.524489795918363,2.1000000000000005,0
0,84.80602878729502,133041,50,3478,2542,5.199999999999998,3.5579999999999954,2.1500000000000004,1
0,86.87019923130671,136375,51,3334,2315,12.499999999999972,3.7333333333333285,2.2000000000000006,0
0,87.87758414347967,138247,52,1872,1293,0.30000000000000004,3.6673076923076877,2.1500000000000004,0
0,88.89971369504929,140471,53,2224,405,0.0,3.5981132075471653,2.1000000000000005,0
0,90.08598635196685,142787,54,2316,1932,0.0,3.5314814814814772,2.0500000000000007,0
0,91.59997648398081,145602,55,2815,1856,8.999999999999984,3.630909090909086,2.1000000000000005,0
0,92.30411986112594,147291,56,1689,1252,0.0,3.566071428571424,2.0500000000000007,0
0,93.32086625496547,149441,57,2150,1758,0.0,3.5035087719298206,2.0000000000000004,0
